# Character Pattern Learning Data
# Format: CHARACTER|INTENSITY_DISTRIBUTION

A|0,863,1014,477,46,0,0
B|0,2067,2016,906,210,0,1
C|0,1656,1899,842,203,0,0
D|0,1573,1688,755,184,0,0
E|0,740,1412,728,481,124,115
F|0,1324,1233,582,61,0,0
G|0,1269,1047,453,31,0,0
H|0,1177,743,280,0,0,0
I|0,908,747,280,65,0,0
J|0,1612,181,7,0,0,0
K|0,1834,166,0,0,0,0
L|0,1580,399,21,0,0,0
M|0,1493,501,6,0,0,0
N|0,1308,990,302,0,0,0
O|0,832,1303,624,235,4,2
P|0,1419,688,93,0,0,0
Q|0,1754,1562,634,50,0,0
R|0,1266,1862,864,378,18,12
S|0,1309,625,66,0,0,0
T|0,1672,2171,998,491,36,32
U|0,1353,2065,1441,606,82,53
V|0,2259,2037,915,189,0,0
W|0,2107,2019,874,200,0,0
X|0,1666,1917,847,170,0,0
Y|0,1577,1691,766,166,0,0
Z|0,1347,1445,682,126,0,0
